County/ Sub- County,Total,"Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private
company","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open ",Buried,"Compost
pit","Burnt in
a pit","Not
Stated"
KALAMA,"14,137",0.1,0.0,0.2,6.8,0.1,3.9,19.2,2.9,48.0,18.7,0.0
KANGUNDO,"26,115",2.1,0.0,0.2,3.6,0.1,3.1,13.6,1.8,62.4,13.0,0.0
KATHIANI,"28,730",1.7,0.0,0.2,14.0,0.6,2.2,14.2,1.5,51.5,14.2,0.0
MACHAKOS,"50,753",12.0,0.6,3.5,7.6,1.8,2.6,22.5,1.9,22.4,25.0,0.0
MASINGA,"36,196",0.2,0.0,0.6,13.0,0.2,8.7,33.6,2.0,19.1,22.6,0.0
MATUNGULU,"44,399",6.2,0.3,1.5,6.3,0.8,2.8,24.0,1.8,39.5,16.8,0.0
MWALA,"45,809",0.7,0.1,0.4,6.8,0.7,3.6,23.9,1.4,46.0,16.3,0.0
YATTA,"43,661",3.2,0.1,0.3,10.1,1.0,5.1,36.0,2.7,22.4,19.2,0.0
MAKUENI,"243,979",4.0,0.1,0.3,13.0,0.4,5.0,28.6,1.8,23.0,23.9,0.0
KATHONZWENI,"18,362",1.0,0.0,0.1,14.4,0.3,2.4,35.3,1.2,11.2,34.2,0.0
KIBWEZI,"47,594",4.7,0.1,0.3,11.8,0.5,6.3,38.1,1.2,7.1,29.9,0.0
KILUNGU,"14,563",0.2,0.1,0.1,26.6,0.1,5.0,24.4,4.1,33.3,6.0,0.0
MAKINDU,"21,662",3.0,0.2,0.2,10.0,0.4,5.6,36.8,1.2,13.0,29.5,0.0
MAKUENI,"34,352",13.1,0.0,0.6,11.9,0.9,7.0,20.6,2.3,27.6,16.0,0.0
MBOONI EAST,"23,724",0.4,0.0,0.0,19.4,0.3,1.8,21.8,1.9,33.7,20.7,0.0
MBOONI WEST,"24,807",0.1,0.0,0.0,12.8,0.1,5.9,18.5,1.4,43.4,17.8,0.0
MUKAA,"28,109",0.6,0.0,0.6,7.7,0.3,1.9,30.0,2.4,30.8,25.5,0.0
NZAUI,"30,806",6.0,0.2,0.1,10.8,0.5,6.1,27.1,1.8,19.7,27.7,0.0
NYANDARUA,"178,224",4.4,0.4,1.6,14.0,1.0,1.0,34.4,2.7,12.2,28.4,0.0
KINANGOP,"30,847",5.5,0.0,0.6,9.0,1.0,1.4,42.8,1.7,14.4,23.5,0.0
NYANDARUA SOUTH,"25,650",8.7,1.0,3.0,9.7,0.4,0.8,31.1,2.7,11.2,31.4,0.0
MIRANGINE,"17,880",1.2,0.0,0.4,18.1,0.4,0.6,38.1,2.4,12.9,26.0,0.0
KIPIPIRI,"25,077",2.5,0.0,0.2,17.6,0.3,1.1,36.8,5.4,14.3,21.6,0.0
NYANDARUA CENTRAL,"21,852",6.5,2.0,6.8,12.2,2.4,0.7,28.3,3.3,9.7,28.2,0.0
NYANDARUA WEST,"29,003",3.4,0.0,0.4,17.0,1.4,0.6,34.3,2.1,11.1,29.8,0.0
NYANDARUA NORTH,"27,906",2.7,0.0,0.3,15.5,0.7,1.6,28.8,1.7,11.2,37.4,0.0
ABERDARE NATIONAL PARK,9,-,-,-,-,-,-,-,-,100.0,-,-
NYERI,"244,564",11.1,0.3,1.7,9.1,0.4,2.1,27.6,2.2,19.8,25.7,0.0
TETU,"24,122",1.4,0.0,0.1,12.4,0.1,1.4,33.7,2.2,31.0,17.6,0.0
KIENI EAST,"36,751",5.6,0.3,1.9,5.5,0.4,2.0,30.9,1.0,10.8,41.5,0.0
KIENI WEST,"27,530",1.4,0.0,0.8,6.2,0.3,2.0,32.8,3.5,16.5,36.6,0.0
MATHIRA EAST,"33,945",16.1,0.2,1.7,9.0,0.1,2.7,22.8,2.0,23.6,21.8,0.0
MATHIRA WEST,"18,892",0.5,0.0,0.2,11.0,0.1,2.6,24.2,5.4,27.0,28.8,0.0
NYERI SOUTH,"28,103",8.3,0.8,2.1,10.6,0.2,1.6,23.4,2.7,33.3,17.0,0.0
MUKURWE-INI,"27,036",0.9,0.0,0.1,19.2,0.2,2.4,37.3,1.7,17.8,20.3,0.0
NYERI CENTRAL,"48,036",33.7,0.4,4.4,4.4,1.3,2.1,20.6,1.1,10.9,21.0,0.0
MT. KENYA FOREST,101,-,-,-,7.9,-,-,42.6,6.9,25.7,16.8,-
ABERDARE FOREST,48,-,-,2.1,-,-,-,95.8,2.1,-,-,-
KIRINYAGA,"203,576",7.2,1.3,3.0,10.1,1.6,2.2,24.2,1.7,29.7,19.0,0.0
KIRINYAGA CENTRAL,"40,149",10.3,4.0,8.4,12.0,0.9,1.4,14.9,1.3,33.0,13.6,0.0
KIRINYAGA EAST,"44,509",5.3,0.8,1.4,9.3,0.4,1.5,14.3,2.4,51.9,12.7,0.0
KIRINYAGA WEST,"37,951",8.4,0.3,2.9,12.1,2.3,1.9,23.3,1.3,27.4,20.1,0.0
MWEA EAST,"46,331",7.9,0.9,1.9,9.1,3.1,2.8,31.0,2.1,18.4,22.8,0.0
MWEA WEST,"34,613",3.8,0.3,0.2,8.3,1.0,3.4,39.7,1.3,15.2,26.9,0.0
MT. KENYA FOREST,23,4.3,-,-,-,-,78.3,-,-,13.0,4.3,-
MURANG'A,"317,496",3.9,0.4,1.8,16.6,0.6,2.9,30.4,2.4,23.3,17.8,0.0
MURANG'A EAST,"34,650",17.8,0.0,0.6,17.2,0.7,1.9,30.9,1.1,12.1,17.6,0.0
KANGEMA,"25,283",2.2,0.5,1.3,13.9,0.3,2.3,30.0,2.1,29.5,17.8,-
MATHIOYA,"28,372",2.0,0.2,0.6,12.0,0.3,2.5,35.2,4.2,31.8,11.1,0.0
KAHURO,"26,778",1.2,0.0,0.5,31.7,0.2,1.6,30.7,1.2,21.9,11.1,0.0
MURANG'A SOUTH,"55,878",3.2,0.8,2.2,16.8,1.6,4.7,34.6,2.1,15.2,18.8,0.0
GATANGA,"55,340",1.6,0.4,4.5,10.4,0.3,3.1,26.0,2.8,28.4,22.4,0.0
KIGUMO,"40,528",2.7,0.5,1.5,21.2,0.7,2.0,23.0,2.5,31.0,14.9,0.0
KANDARA,"50,657",1.8,0.3,1.3,14.8,0.4,3.2,33.3,2.6,21.1,21.1,0.0
ABERDARE FOREST,10,-,-,-,-,-,-,-,-,-,100.0,-
KIAMBU,"792,333",10.1,4.6,26.0,4.1,1.5,1.8,24.8,0.9,9.0,17.1,0.0
GATUNDU NORTH,"31,452",4.0,0.1,0.7,9.0,0.3,2.2,33.5,3.2,25.7,21.0,0.0
GATUNDU SOUTH,"35,577",5.7,0.4,0.6,9.2,0.5,3.5,39.6,2.3,19.2,19.1,0.0
GITHUNGURI,"49,414",4.4,0.8,3.4,6.2,0.4,3.2,37.1,2.1,19.2,23.2,0.0
JUJA,"104,042",11.8,6.2,31.5,3.1,2.8,1.8,25.8,0.3,4.1,12.4,0.0
KABETE,"66,681",3.8,2.0,33.7,2.4,0.3,0.8,26.7,0.3,5.1,25.0,0.0
KIAMBAA,"80,316",6.9,2.2,29.5,4.1,0.4,3.6,26.4,1.0,10.2,15.5,0.0
KIAMBU,"46,816",11.6,2.5,27.7,2.8,0.5,0.7,23.2,0.8,8.3,21.6,0.1
KIKUYU,"60,619",3.3,1.6,33.2,2.5,0.2,1.2,23.5,1.0,4.5,29.0,0.0
LARI,"38,585",2.9,0.9,1.0,11.1,0.6,3.2,28.2,2.3,24.5,25.2,0.0
LIMURU,"49,096",7.2,1.6,9.7,3.8,0.8,1.1,28.3,0.9,15.4,31.1,0.0
RUIRU,"127,910",13.8,12.3,46.1,2.1,2.7,0.7,14.8,0.2,2.2,5.1,0.0
THIKA EAST,"12,736",9.0,0.7,3.5,5.7,2.5,2.8,34.7,0.2,8.2,32.7,0.0
THIKA WEST,"89,089",25.8,8.4,30.8,3.4,3.9,0.9,16.2,0.2,4.1,6.3,0.0
TURKANA,"162,627",1.5,0.3,0.5,5.0,3.4,5.9,51.9,19.5,3.7,8.2,0.1
KIBISH,"5,699",0.0,0.0,0.5,6.5,9.8,0.9,55.7,17.7,2.9,6.0,-
LOIMA,"19,139",0.1,0.1,0.1,5.7,5.6,1.9,60.7,18.2,2.1,5.4,0.1
TURKANA CENTRAL,"37,917",4.5,0.0,1.2,2.6,1.9,5.8,47.7,18.4,4.3,13.6,0.0
TURKANA EAST,"17,887",0.4,0.1,0.2,7.3,0.6,4.1,61.5,19.0,1.8,5.0,0.1
TURKANA NORTH,"12,964",0.1,0.0,0.3,5.6,3.8,2.7,42.6,39.2,1.4,4.3,0.0
TURKANA SOUTH,"24,281",1.5,0.1,0.3,6.6,2.3,4.1,59.0,14.0,3.7,8.4,0.1
TURKANA WEST,"44,740",0.5,1.1,0.5,4.6,4.4,11.0,46.1,18.8,5.5,7.4,0.1
WEST POKOT,"115,761",2.3,0.1,0.3,13.9,1.3,4.0,51.5,8.0,8.8,9.9,0.0
KIPKOMO,"18,367",0.2,0.0,0.2,11.6,0.8,3.1,61.5,5.3,8.9,8.5,-
POKOT CENTRAL,"21,784",0.0,0.0,0.0,16.1,1.5,4.0,56.5,7.6,4.3,9.9,0.0
POKOT NORTH,"25,736",1.0,0.2,0.2,11.2,2.4,3.7,56.9,14.9,4.5,5.1,0.1
POKOT SOUTH,"13,752",0.0,-,0.2,21.8,0.3,2.7,51.9,1.4,11.6,10.1,-
WEST POKOT,"36,122",6.6,0.1,0.7,12.5,0.9,5.3,39.4,7.1,13.5,13.9,0.0
SAMBURU,"63,951",3.2,0.1,0.4,10.5,4.8,4.1,49.6,7.3,4.0,16.0,0.0
SAMBURU CENTRAL,"33,720",5.0,0.1,0.8,12.5,2.0,4.6,43.2,4.1,4.7,23.0,0.0
SAMBURU EAST,"17,307",0.3,0.0,0.0,8.0,10.0,5.4,50.4,12.4,5.1,8.2,-
SAMBURU NORTH,"12,924",2.3,0.0,0.0,8.6,4.8,1.0,65.0,8.9,0.8,8.4,0.0
TRANS NZOIA,"222,989",3.5,0.7,1.9,13.8,2.2,3.7,17.1,2.7,44.5,9.9,0.0
TRANS NZOIA WEST,"47,576",12.4,2.0,3.0,11.6,6.4,3.3,15.0,2.4,36.8,7.1,0.0
TRANS NZOIA EAST,"49,955",0.4,0.0,0.3,14.9,0.9,2.6,23.5,2.6,39.5,15.3,0.0
KWANZA,"45,599",1.0,0.7,3.2,17.0,1.4,4.8,13.1,3.0,49.0,6.7,0.0
ENDEBESS,"23,246",0.0,0.0,0.1,21.1,1.3,2.5,20.5,2.8,42.0,9.7,0.0
KIMININI,"56,613",2.2,0.5,2.3,9.2,0.9,4.8,14.9,2.7,52.6,10.0,0.0
UASIN GISHU,"301,110",11.4,2.4,9.0,4.7,0.9,3.1,26.6,1.2,13.1,27.8,0.0
AINABKOI,"34,862",9.1,1.6,11.2,3.9,0.8,3.4,33.0,1.1,9.1,27.0,0.0
KAPSERET,"59,678",17.2,1.1,11.9,4.9,1.2,2.5,21.1,0.7,12.8,26.5,0.0
KESSES,"34,623",5.0,0.0,2.4,4.8,0.4,3.3,34.1,1.6,10.9,37.5,0.0
MOIBEN,"46,602",12.7,0.9,10.0,2.7,0.3,3.3,31.6,0.7,5.1,32.9,0.0
SOY,"53,758",5.6,1.7,2.0,7.1,0.9,2.9,28.5,1.6,19.2,30.4,0.0
TURBO,"71,587",14.4,6.4,13.1,4.2,1.5,3.5,19.6,1.3,16.8,19.1,0.0
ELGEYO/MARAKWET,"99,119",1.7,0.0,0.1,6.3,0.2,4.0,55.7,1.7,6.5,23.7,0.0
KEIYO NORTH,"21,749",3.8,0.0,0.1,6.5,0.3,1.4,49.5,1.1,5.7,31.7,0.0
KEIYO SOUTH,"26,740",0.5,0.0,0.2,3.5,0.1,5.7,50.7,3.1,8.0,28.1,0.0
MARAKWET EAST,"21,123",0.1,-,0.0,10.8,0.1,5.5,69.7,1.8,3.3,8.7,0.0
MARAKWET WEST,"29,507",2.4,0.0,0.1,5.6,0.1,3.5,54.8,0.9,8.0,24.6,0.0
NANDI,"199,040",1.9,0.1,1.1,8.5,0.3,3.1,30.0,2.8,25.8,26.3,0.0
CHESUMEI,"39,011",3.5,0.1,0.4,8.7,0.6,2.4,30.0,2.1,21.6,30.6,0.0
NANDI CENTRAL,"34,247",3.4,0.2,0.6,7.8,0.3,2.2,24.4,4.0,34.5,22.6,0.0
NANDI EAST,"29,249",4.2,0.1,4.7,5.6,0.2,5.5,18.4,3.7,29.6,28.1,0.0
NANDI NORTH,"35,257",0.0,0.0,0.1,7.8,0.3,2.8,35.3,1.8,18.6,33.2,0.0
NANDI SOUTH,"37,038",0.1,0.0,0.1,12.4,0.5,2.8,26.8,3.6,34.4,19.4,0.0
TINDERET,"24,238",0.0,0.1,1.8,7.8,0.2,3.3,49.0,1.5,13.2,23.0,0.0
BARINGO,"141,877",1.9,0.0,0.2,7.5,1.4,2.6,55.4,4.2,4.0,22.9,0.0
BARINGO CENTRAL,"23,523",2.3,0.0,0.4,3.3,0.1,4.2,51.6,1.6,3.4,33.1,0.0
BARINGO NORTH,"23,345",0.1,0.0,0.0,5.6,0.1,3.1,64.3,2.9,3.7,20.2,0.0
EAST POKOT,"14,392",0.6,0.0,0.1,19.1,7.2,1.6,50.2,12.1,3.3,5.8,-
KOIBATEK,"30,752",5.6,-,0.3,5.1,1.7,1.8,47.9,1.1,6.3,30.1,0.0
MARIGAT,"19,658",0.1,-,0.1,5.4,0.8,2.1,67.4,2.4,3.4,18.3,0.0
MOGOTIO,"18,169",1.5,0.0,0.1,3.3,0.2,2.9,56.8,2.3,2.5,30.4,-
TIATY EAST,"12,038",0.0,0.0,0.1,21.9,1.5,1.7,49.7,15.8,3.4,5.9,0.0
LAIKIPIA,"145,776",15.4,0.1,0.6,8.1,0.7,3.6,33.5,3.0,9.9,25.1,0.0
LAIKIPIA CENTRAL,"29,877",8.7,0.0,1.0,6.2,0.5,2.5,31.9,2.3,9.7,37.2,0.0
LAIKIPIA EAST,"31,311",33.8,0.1,0.5,3.2,0.4,3.6,24.9,1.7,8.3,23.5,0.0
LAIKIPIA NORTH,"7,694",0.7,0.1,0.6,10.1,0.9,3.1,53.1,7.3,2.8,21.2,0.0
LAIKIPIA WEST,"32,821",2.6,0.0,0.4,12.8,0.6,3.3,41.4,3.6,12.5,22.7,0.0
NYAHURURU,"44,073",18.9,0.1,0.6,9.1,0.9,4.6,31.5,3.1,10.5,20.6,0.0
NAKURU,"598,237",11.5,4.3,13.8,7.5,1.7,3.1,30.4,1.9,7.7,18.1,0.0
GILGIL,"49,405",6.1,1.0,5.6,9.1,1.5,3.2,41.2,2.0,9.2,21.2,0.0
KURESOI NORTH,"40,168",0.2,0.3,0.3,12.3,1.8,7.0,42.8,4.0,10.2,21.1,0.0
KURESOI SOUTH,"34,543",0.2,0.0,0.4,5.6,0.4,4.5,52.1,1.8,6.0,28.9,0.0
MOLO,"41,439",7.9,0.2,1.2,12.2,5.4,3.4,38.2,2.9,12.6,15.8,0.0
NAIVASHA,"111,493",18.9,6.2,17.5,5.2,1.6,2.4,23.8,1.0,6.9,16.5,0.0
NAKURU EAST,"60,066",21.4,9.7,42.6,1.7,1.1,1.0,13.4,0.3,1.9,6.8,0.0
NAKURU NORTH,"61,582",6.2,1.1,16.5,7.6,0.9,2.6,29.9,1.5,10.2,23.5,0.0
NAKURU WEST,"64,429",32.9,16.3,27.5,1.5,1.6,2.0,9.9,0.4,2.6,5.3,0.0
NJORO,"61,156",1.9,0.8,3.5,13.5,3.1,4.7,40.4,3.1,9.1,19.8,0.0
RONGAI,"52,248",4.4,0.5,7.6,6.3,0.4,3.5,37.0,2.9,6.1,31.3,0.0
SUBUKIA,"21,708",0.6,0.3,0.9,20.7,0.8,2.7,31.6,3.5,20.6,18.3,0.0
NAROK,"238,115",4.0,0.1,1.0,6.6,1.9,4.7,44.1,3.6,7.7,26.2,0.0
NAROK EAST,"24,860",0.6,0.0,0.6,10.0,1.9,7.5,36.9,3.7,10.1,28.7,0.0
NAROK NORTH,"59,802",13.6,0.1,2.7,5.6,4.1,3.7,37.4,2.2,8.8,21.7,0.0
NAROK SOUTH,"46,549",0.5,0.0,0.4,5.9,0.9,6.2,49.9,5.0,6.9,24.3,0.0
NAROK WEST,"37,782",0.9,0.2,0.4,7.0,0.9,2.6,47.9,6.3,4.5,29.2,0.0
TRANS MARA EAST,"20,439",-,-,0.0,3.3,0.0,4.9,40.7,1.8,2.5,46.7,0.0
TRANS MARA WEST,"48,683",1.5,0.0,0.6,8.0,1.6,4.6,48.8,2.8,10.6,21.4,0.0
MAU FOREST,-,-,-,-,-,-,-,-,-,-,-,-
KAJIADO,"313,218",9.4,2.4,26.2,2.8,0.8,3.9,26.2,2.5,5.3,20.5,0.0
ISINYA,"71,395",13.3,3.9,46.6,1.5,0.3,5.7,11.9,0.5,3.0,13.1,0.1
KAJIADO CENTRAL,"37,059",13.0,0.7,6.6,3.0,0.5,2.6,33.8,4.3,5.3,30.1,0.0
KAJIADO NORTH,"100,908",13.0,3.9,41.1,2.0,1.0,1.5,20.1,0.3,3.9,13.2,0.0
KAJIADO WEST,"42,367",2.0,0.5,9.6,3.5,0.8,4.7,41.0,6.6,7.6,23.8,0.0
LOITOKITOK,"45,581",2.2,0.4,1.2,5.2,1.4,6.0,41.1,6.2,9.0,27.3,0.0
MASHUURU,"15,908",0.1,0.4,1.0,3.7,0.8,5.4,28.9,0.7,8.4,50.7,0.0
KERICHO,"205,932",7.4,0.2,3.3,4.2,1.0,5.8,39.7,3.1,8.4,27.0,0.0
BELGUT,"34,978",4.2,0.2,11.5,3.7,0.2,7.0,29.6,2.6,13.2,27.7,0.0
BURETI,"43,098",4.2,0.1,0.7,2.9,0.2,6.4,41.1,3.5,9.7,31.1,0.0
KERICHO EAST,"44,246",24.4,0.4,3.0,3.2,3.3,4.6,31.5,1.8,6.1,21.7,0.1
KIPKELION,"24,676",0.0,0.1,0.0,5.0,0.1,7.1,51.8,4.2,6.1,25.5,0.0
LONDIANI,"31,739",2.8,0.2,3.0,8.3,0.6,5.9,42.0,4.7,5.7,26.7,0.0
